task_id,WL,Retention,PEC,num_points,init_mode,seed_offset,best_epoch,best_monitor_loss,final_train_loss,train_mse,train_rmse,train_mae,train_r2,train_points
54,1,2,10000,36,,0,140,0.0020545695442706347,0.0020545695442706347,1007.2869873046875,31.73778533935547,16.411317825317383,0.9982864635338611,36
55,1,3,0,32,,0,93,0.011961161158978939,0.011960729025304317,1100.447265625,33.17298889160156,15.499200820922852,0.9982919248988747,32
56,1,3,1000,35,,0,140,0.0035151466727256775,0.0035151466727256775,860.7705078125,29.338890075683594,13.220468521118164,0.9986026278462753,35
57,1,3,2000,38,,0,82,0.008425083011388779,0.008424835279583931,1227.7406005859375,35.03913116455078,14.556404113769531,0.9978895138253734,38
58,1,3,3000,35,,0,140,0.0066146450117230415,0.0066146450117230415,2775.954345703125,52.68732452392578,23.947202682495117,0.9953696487547893,35
59,1,3,4000,35,,0,138,0.0002862490655388683,0.00028561794897541404,663.381591796875,25.756195068359375,12.502105712890625,0.9988863957450329,35
60,1,3,5000,34,,0,139,0.0006707244319841266,0.0006704316474497318,644.6655883789062,25.39026641845703,14.161458969116211,0.9989467607804949,34
61,1,3,6000,34,,0,140,0.022337540984153748,0.022337540984153748,596.5054321289062,24.423460006713867,12.374213218688965,0.9989667086889871,34
62,1,3,7000,36,,0,140,0.003029594896361232,0.003029594896361232,592.9279174804688,24.35011100769043,11.109304428100586,0.9989761172590677,36
63,1,3,8000,38,,0,140,0.0019314317032694817,0.0019314317032694817,951.9149780273438,30.853118896484375,12.225297927856445,0.9983102372050389,38
64,1,3,9000,39,,0,140,0.005930810235440731,0.005930810235440731,340.74853515625,18.459375381469727,7.655960559844971,0.9993705933064378,39
65,1,3,10000,36,,0,140,0.0016388696385547519,0.0016388696385547519,537.963623046875,23.194042205810547,13.96524429321289,0.9990524383699481,36
66,2,1,0,29,,0,140,0.004517500754445791,0.004517500754445791,421.3883361816406,20.527746200561523,11.129217147827148,0.9993545740657354,29
67,2,1,1000,31,,0,91,0.001802763668820262,0.001802763668820262,1437.38671875,37.91288375854492,21.504230499267578,0.9977353873011018,31
68,2,1,2000,28,,0,140,0.0032074633054435253,0.0032074633054435253,2954.791748046875,54.35799789428711,27.84953498840332,0.9955897985276394,28
69,2,1,3000,35,,0,140,0.010760421864688396,0.010760421864688396,1369.82470703125,37.01114273071289,18.27265167236328,0.9976328374505947,35
70,2,1,4000,29,,0,140,0.012411735020577908,0.012411735020577908,1116.513427734375,33.414268493652344,19.27855110168457,0.9982628512388677,29
71,2,1,5000,33,,0,140,0.0040804799646139145,0.0040804799646139145,1718.40576171875,41.45365905761719,20.21177101135254,0.9971947537507105,33
72,2,1,6000,31,,0,140,0.0009065531776286662,0.0009065531776286662,473.1139221191406,21.751182556152344,11.899848937988281,0.9992108698342973,31
73,2,1,7000,31,,0,140,0.0069178082048892975,0.0069178082048892975,3091.92724609375,55.6051025390625,30.33646011352539,0.9949111382951553,31
74,2,1,8000,31,,0,140,0.0017098444513976574,0.0017098444513976574,2238.072998046875,47.30827713012695,22.325925827026367,0.9964506239621724,31
75,2,1,9000,34,,0,123,0.0009133408311754465,0.0009133000858128071,2315.3369140625,48.11794662475586,23.645811080932617,0.9959358789041648,34
76,2,1,10000,32,,0,140,0.0029541850090026855,0.0029541850090026855,372.28314208984375,19.294639587402344,9.172733306884766,0.9993784717567912,32
77,2,2,0,31,,0,139,0.003287243889644742,0.003286822233349085,1064.7877197265625,32.63108444213867,17.07854461669922,0.9983976007413184,31
78,2,2,1000,30,,0,140,0.001018173643387854,0.001018173643387854,369.1204833984375,19.212509155273438,10.13321590423584,0.9994390645342945,30
79,2,2,2000,35,,0,140,0.001517329947091639,0.001517329947091639,1137.046875,33.72012710571289,14.75115966796875,0.9981446039551164,35
80,2,2,3000,39,,0,132,0.008430386893451214,0.008430386893451214,383.61810302734375,19.586172103881836,10.125908851623535,0.9993131806582973,39
81,2,2,4000,29,,0,140,0.0014658515574410558,0.0014658515574410558,592.93798828125,24.350318908691406,10.785544395446777,0.9990792171566774,29
82,2,2,5000,31,,0,134,0.0016157114878296852,0.0016157113714143634,1932.4090576171875,43.95917510986328,22.312721252441406,0.9969451784238536,31
83,2,2,6000,35,,0,140,0.0021053438540548086,0.0021053438540548086,1989.3533935546875,44.602169036865234,21.445728302001953,0.9965626526117473,35
84,2,2,7000,32,,0,140,0.006044828798621893,0.006044828798621893,1743.559326171875,41.755950927734375,21.463214874267578,0.9971431297603567,32
85,2,2,8000,34,,0,140,0.0006075926357880235,0.0006075926357880235,845.6448364257812,29.079973220825195,15.004035949707031,0.9985628550795769,34
86,2,2,9000,36,,0,140,0.0036460321862250566,0.0036460321862250566,1336.1844482421875,36.553855895996094,18.111526489257812,0.9976043093319142,36
87,2,2,10000,32,,0,140,0.010161339305341244,0.010161339305341244,4334.58154296875,65.83753967285156,30.657974243164062,0.9928773649338771,32
88,2,3,0,29,,0,139,0.0005757527542300522,0.0005751276621595025,1290.99365234375,35.93040084838867,18.489356994628906,0.998042736675689,29
89,2,3,1000,31,,0,140,0.003603305434808135,0.003603305434808135,6027.7041015625,77.63829040527344,34.47846984863281,0.9906209587284329,31
90,2,3,2000,32,,0,140,0.0014818134950473905,0.0014818134950473905,544.4198608398438,23.332805633544922,11.37274169921875,0.9991423172770015,32
91,2,3,3000,37,,0,140,0.006434887647628784,0.006434887647628784,410.9648132324219,20.272266387939453,11.16336727142334,0.9992689437945599,37
92,2,3,4000,30,,0,59,0.0065982285887002945,0.00659766374155879,2068.40185546875,45.47968673706055,24.6684627532959,0.9966368208649776,30
93,2,3,5000,32,,0,140,0.007962768897414207,0.007962768897414207,7797.3701171875,88.30271911621094,44.015708923339844,0.9872912804137831,32
94,2,3,6000,33,,0,140,0.004081755876541138,0.004081755876541138,1257.0863037109375,35.455413818359375,18.335790634155273,0.9978393176155435,33
95,2,3,7000,33,,0,63,0.001904647215269506,0.001903917989693582,1102.0799560546875,33.19758987426758,18.65460968017578,0.9981463284402,33
96,2,3,8000,34,,0,140,0.0039551216177642345,0.0039551216177642345,4855.17626953125,69.67909240722656,33.10287094116211,0.991598293651115,34
97,2,3,9000,35,,0,119,0.0031305556185543537,0.003129716496914625,2081.02734375,45.61827850341797,22.877065658569336,0.9962447433918071,35
98,2,3,10000,33,,0,140,0.0023221680894494057,0.0023221680894494057,753.0562744140625,27.441871643066406,12.861900329589844,0.99870629040153,33
99,3,1,0,32,,0,110,0.014072871766984463,0.014072614721953869,4048.76318359375,63.62989044189453,31.593469619750977,0.9935666025995584,32
100,3,1,1000,26,,0,93,0.0011121851857751608,0.001112035010010004,2651.615478515625,51.493839263916016,28.806312561035156,0.9960842874281055,26
101,3,1,2000,36,,0,139,0.012473922222852707,0.012473366223275661,1395.968994140625,37.362667083740234,17.32665252685547,0.99758998290127,36
102,3,1,3000,34,,0,140,0.004536703694611788,0.004536703694611788,3476.59326171875,58.962642669677734,26.400909423828125,0.993986040863684,34
103,3,1,4000,32,,0,120,0.012756072916090488,0.01275537721812725,4303.22314453125,65.59895324707031,32.524959564208984,0.9929664802087937,32
104,3,1,5000,31,,0,140,0.00340741197578609,0.00340741197578609,3092.9052734375,55.613895416259766,24.251352310180664,0.9949214262407428,31
105,3,1,6000,31,,0,49,0.005960916168987751,0.005960916168987751,4566.171875,67.57345581054688,39.13762664794922,0.9924625182836979,31
106,3,1,7000,34,,0,140,0.002045453991740942,0.002045453991740942,3671.52587890625,60.593116760253906,28.303348541259766,0.9937039699141671,34
