task_id,WL,Retention,PEC,num_points
373,11,1,10000,25
374,11,2,0,25
375,11,2,1000,26
376,11,2,2000,26
377,11,2,3000,23
378,11,2,4000,24
379,11,2,5000,26
380,11,2,6000,29
381,11,2,7000,30
382,11,2,8000,28
383,11,2,9000,30
384,11,2,10000,26
385,11,3,0,23
386,11,3,1000,27
387,11,3,2000,27
388,11,3,3000,26
389,11,3,4000,26
390,11,3,5000,27
391,11,3,6000,30
392,11,3,7000,31
393,11,3,8000,28
394,11,3,9000,31
395,11,3,10000,25
396,12,1,0,22
397,12,1,1000,23
398,12,1,2000,23
399,12,1,3000,22
400,12,1,4000,26
401,12,1,5000,22
402,12,1,6000,23
403,12,1,7000,25
404,12,1,8000,24
405,12,1,9000,24
406,12,1,10000,24
407,12,2,0,24
408,12,2,1000,23
409,12,2,2000,25
410,12,2,3000,26
411,12,2,4000,25
412,12,2,5000,22
413,12,2,6000,25
414,12,2,7000,24
415,12,2,8000,24
416,12,2,9000,30
417,12,2,10000,26
418,12,3,0,24
419,12,3,1000,24
420,12,3,2000,25
421,12,3,3000,25
422,12,3,4000,27
423,12,3,5000,22
424,12,3,6000,24
425,12,3,7000,24
426,12,3,8000,24
427,12,3,9000,27
428,12,3,10000,26
429,13,1,0,24
430,13,1,1000,25
431,13,1,2000,24
432,13,1,3000,25
433,13,1,4000,25
434,13,1,5000,24
435,13,1,6000,23
436,13,1,7000,25
437,13,1,8000,27
438,13,1,9000,24
439,13,1,10000,25
440,13,2,0,24
441,13,2,1000,25
442,13,2,2000,24
443,13,2,3000,25
444,13,2,4000,26
445,13,2,5000,25
446,13,2,6000,26
447,13,2,7000,25
448,13,2,8000,26
449,13,2,9000,25
450,13,2,10000,26
451,13,3,0,24
452,13,3,1000,23
453,13,3,2000,25
454,13,3,3000,25
455,13,3,4000,27
456,13,3,5000,26
457,13,3,6000,26
458,13,3,7000,25
459,13,3,8000,29
460,13,3,9000,26
461,13,3,10000,25
462,14,1,0,22
463,14,1,1000,23
464,14,1,2000,21
465,14,1,3000,26
466,14,1,4000,25
467,14,1,5000,23
468,14,1,6000,22
469,14,1,7000,23
470,14,1,8000,25
471,14,1,9000,21
472,14,1,10000,23
473,14,2,0,22
474,14,2,1000,24
475,14,2,2000,25
476,14,2,3000,27
477,14,2,4000,25
478,14,2,5000,23
479,14,2,6000,24
480,14,2,7000,25
481,14,2,8000,26
482,14,2,9000,25
483,14,2,10000,25
484,14,3,0,24
485,14,3,1000,25
486,14,3,2000,25
487,14,3,3000,26
488,14,3,4000,25
489,14,3,5000,24
490,14,3,6000,25
491,14,3,7000,25
492,14,3,8000,27
493,14,3,9000,24
494,14,3,10000,25
495,15,1,0,22
496,15,1,1000,26
497,15,1,2000,23
498,15,1,3000,23
499,15,1,4000,23
500,15,1,5000,24
501,15,1,6000,25
502,15,1,7000,25
503,15,1,8000,25
504,15,1,9000,27
505,15,1,10000,24
506,15,2,0,24
507,15,2,1000,27
508,15,2,2000,24
509,15,2,3000,24
510,15,2,4000,26
511,15,2,5000,24
512,15,2,6000,26
513,15,2,7000,27
514,15,2,8000,25
515,15,2,9000,29
516,15,2,10000,24
517,15,3,0,23
518,15,3,1000,28
519,15,3,2000,23
520,15,3,3000,23
521,15,3,4000,25
522,15,3,5000,24
523,15,3,6000,26
524,15,3,7000,28
525,15,3,8000,27
526,15,3,9000,30
527,15,3,10000,24
528,16,1,0,24
529,16,1,1000,26
530,16,1,2000,22
531,16,1,3000,25
532,16,1,4000,21
533,16,1,5000,24
534,16,1,6000,22
535,16,1,7000,23
536,16,1,8000,25
537,16,1,9000,22
538,16,1,10000,23
539,16,2,0,25
540,16,2,1000,26
541,16,2,2000,25
542,16,2,3000,28
543,16,2,4000,22
544,16,2,5000,24
545,16,2,6000,25
546,16,2,7000,25
547,16,2,8000,26
548,16,2,9000,25
549,16,2,10000,27
550,16,3,0,25
551,16,3,1000,27
552,16,3,2000,23
553,16,3,3000,25
554,16,3,4000,23
555,16,3,5000,25
556,16,3,6000,25
557,16,3,7000,26
558,16,3,8000,28
559,16,3,9000,26
560,16,3,10000,25
561,17,1,0,24
562,17,1,1000,24
563,17,1,2000,21
564,17,1,3000,26
565,17,1,4000,23
566,17,1,5000,25
567,17,1,6000,23
568,17,1,7000,24
569,17,1,8000,23
570,17,1,9000,24
571,17,1,10000,26
572,17,2,0,23
573,17,2,1000,25
574,17,2,2000,24
575,17,2,3000,25
576,17,2,4000,23
577,17,2,5000,26
578,17,2,6000,24
579,17,2,7000,25
580,17,2,8000,27
581,17,2,9000,25
582,17,2,10000,28
583,17,3,0,21
584,17,3,1000,24
585,17,3,2000,25
586,17,3,3000,24
587,17,3,4000,25
588,17,3,5000,26
589,17,3,6000,24
590,17,3,7000,25
591,17,3,8000,25
592,17,3,9000,25
593,17,3,10000,26
594,18,1,0,21
595,18,1,1000,23
596,18,1,2000,24
597,18,1,3000,25
598,18,1,4000,24
599,18,1,5000,24
600,18,1,6000,23
601,18,1,7000,25
602,18,1,8000,24
603,18,1,9000,23
604,18,1,10000,24
605,18,2,0,26
606,18,2,1000,26
607,18,2,2000,24
608,18,2,3000,25
609,18,2,4000,27
610,18,2,5000,26
611,18,2,6000,25
612,18,2,7000,26
613,18,2,8000,26
614,18,2,9000,27
615,18,2,10000,27
616,18,3,0,24
617,18,3,1000,27
618,18,3,2000,24
619,18,3,3000,24
620,18,3,4000,25
621,18,3,5000,27
622,18,3,6000,24
623,18,3,7000,27
624,18,3,8000,26
625,18,3,9000,26
626,18,3,10000,27
627,19,1,0,23
628,19,1,1000,24
629,19,1,2000,26
630,19,1,3000,23
631,19,1,4000,24
632,19,1,5000,23
633,19,1,6000,23
634,19,1,7000,25
635,19,1,8000,25
636,19,1,9000,23
637,19,1,10000,23
638,19,2,0,26
639,19,2,1000,25
640,19,2,2000,27
641,19,2,3000,25
642,19,2,4000,25
643,19,2,5000,25
644,19,2,6000,27
645,19,2,7000,26
646,19,2,8000,27
647,19,2,9000,24
648,19,2,10000,26
649,19,3,0,26
650,19,3,1000,26
651,19,3,2000,26
652,19,3,3000,27
653,19,3,4000,24
654,19,3,5000,26
655,19,3,6000,27
656,19,3,7000,24
657,19,3,8000,28
658,19,3,9000,26
659,19,3,10000,26
660,20,1,0,22
661,20,1,1000,24
662,20,1,2000,25
663,20,1,3000,25
664,20,1,4000,23
665,20,1,5000,22
666,20,1,6000,23
667,20,1,7000,26
668,20,1,8000,24
669,20,1,9000,25
670,20,1,10000,23
671,20,2,0,23
672,20,2,1000,27
673,20,2,2000,25
674,20,2,3000,25
675,20,2,4000,26
676,20,2,5000,24
677,20,2,6000,26
678,20,2,7000,25
679,20,2,8000,28
680,20,2,9000,27
681,20,2,10000,27
682,20,3,0,22
683,20,3,1000,23
684,20,3,2000,25
685,20,3,3000,23
686,20,3,4000,25
687,20,3,5000,25
688,20,3,6000,23
689,20,3,7000,27
690,20,3,8000,27
691,20,3,9000,26
692,20,3,10000,25
693,21,1,0,21
694,21,1,1000,23
695,21,1,2000,24
696,21,1,3000,24
697,21,1,4000,25
698,21,1,5000,23
699,21,1,6000,24
700,21,1,7000,23
701,21,1,8000,24
702,21,1,9000,24
703,21,1,10000,26
704,21,2,0,22
705,21,2,1000,24
706,21,2,2000,25
707,21,2,3000,24
708,21,2,4000,26
709,21,2,5000,23
710,21,2,6000,27
711,21,2,7000,28
712,21,2,8000,27
713,21,2,9000,26
714,21,2,10000,27
715,21,3,0,23
716,21,3,1000,26
717,21,3,2000,25
718,21,3,3000,26
719,21,3,4000,26
720,21,3,5000,24
721,21,3,6000,27
722,21,3,7000,28
723,21,3,8000,25
724,21,3,9000,25
725,21,3,10000,27
726,22,1,0,23
727,22,1,1000,23
728,22,1,2000,24
729,22,1,3000,26
730,22,1,4000,23
731,22,1,5000,25
732,22,1,6000,24
733,22,1,7000,25
734,22,1,8000,23
735,22,1,9000,24
736,22,1,10000,22
737,22,2,0,24
738,22,2,1000,25
739,22,2,2000,26
740,22,2,3000,27
741,22,2,4000,25
742,22,2,5000,26
743,22,2,6000,22
744,22,2,7000,23
