步长,wl,模型序号,retention,擦写次数,bake,frequency,prediction,base_value,shap_step,shap_pec,shap_retention,shap_wordline
20,115,2,5,8000,0,19,25.709412473281873,1678.496268562245,-1529.0024515698076,-122.94144721309787,-11.583534191283967,10.740576885226325
21,115,2,5,8000,0,6,25.709412473281873,1678.496268562245,-1529.0024515698076,-122.94144721309787,-11.583534191283967,10.740576885226325
1,207,2,5,7000,0,1,44.49958804237963,1678.496268562245,-1599.8174959866249,-64.15759270607087,9.349012309080607,20.62939586374976
2,207,2,5,7000,0,14,44.49958804237963,1678.496268562245,-1599.8174959866249,-64.15759270607087,9.349012309080607,20.62939586374976
3,207,2,5,7000,0,24,44.49958804237963,1678.496268562245,-1598.6658197220195,-64.64285572061885,9.349012309080607,19.962982613692443
4,207,2,5,7000,0,108,97.93128934631545,1678.496268562245,-1552.1318318948474,-63.169653752105816,10.009641088964871,24.726865342058947
5,207,2,5,7000,0,341,274.3081586679964,1678.496268562245,-1356.5692266266988,-107.49293775722877,9.295058408673256,50.578996081005606
6,207,2,5,7000,0,694,769.9735714256199,1678.496268562245,-879.0658670771677,-144.8312717659655,14.260144552442112,101.1142971540661
7,207,2,5,7000,0,1287,1365.6961223824258,1678.496268562245,-288.27601976549033,-183.59655453691514,22.99357680616933,136.07885131641694
8,207,2,5,7000,0,1944,2242.7756345552934,1678.496268562245,543.9152486379936,-146.03948170086068,24.34109177711103,142.06250727880473
9,207,2,5,7000,0,2767,2715.4526350196393,1678.496268562245,986.3587922487156,-103.92218736344213,25.346174720832877,129.17358685128792
10,207,2,5,7000,0,2780,2857.2256568049147,1678.496268562245,1189.378115533826,-61.996314624986795,13.143284930101075,38.20430240372941
11,207,2,5,7000,0,2638,2857.2256568049143,1678.496268562245,1074.0514565599935,77.56149095222189,9.311423174760952,17.805017555693162
12,207,2,5,7000,0,2322,2523.268672776811,1678.496268562245,778.6001431453955,111.82039763986111,-1.126798097055007,-44.52133847363565
13,207,2,5,7000,0,1914,1497.9689739504263,1678.496268562245,-49.03993723685297,-29.219655323361508,-7.300191943882375,-94.96751010772186
14,207,2,5,7000,0,1182,1291.283667663327,1678.496268562245,-399.16155546299905,73.12372217306324,15.791860961725883,-76.96662857070802
15,207,2,5,7000,0,737,823.7844031931236,1678.496268562245,-876.1738847629775,83.53447125879748,6.7091816499211685,-68.78163351486248
16,207,2,5,7000,0,436,547.1600590147061,1678.496268562245,-1199.5972082924698,68.22131316118838,18.4260495223232,-18.3863639385806
17,207,2,5,7000,0,204,422.74874828678935,1678.496268562245,-1342.7829720886477,69.7181545806579,14.693449215639255,2.6238480168950162
19,207,2,5,7000,0,37,233.08870642781812,1678.496268562245,-1491.3039372185276,25.888590955796214,1.876512689258164,18.131271439046422
20,207,2,5,7000,0,13,222.68701641411826,1678.496268562245,-1498.0555599975414,24.090554993348935,0.21973502619156926,17.93601782987446
21,207,2,5,7000,0,4,222.68701641411826,1678.496268562245,-1498.0555599975414,24.090554993348935,0.21973502619156926,17.93601782987446
1,115,2,6,10000,0,1,38.28873895808624,1678.496268562245,-1534.218799393548,-111.47876094436566,-1.1088995038292015,6.598930237584034
2,115,2,6,10000,0,3,38.28873895808624,1678.496268562245,-1534.218799393548,-111.47876094436566,-1.1088995038292015,6.598930237584034
3,115,2,6,10000,0,16,43.65024152843216,1678.496268562245,-1531.10708281328,-110.52260201989291,-1.1088995038292015,7.8925573031891965
4,115,2,6,10000,0,42,92.63730412015707,1678.496268562245,-1488.7687575419918,-100.66742544043129,-1.597703653285278,5.174922193620411
5,115,2,6,10000,0,135,148.364899650466,1678.496268562245,-1356.7897114985497,-144.60939804703338,-13.018009644250983,-15.71424972194491
6,115,2,6,10000,0,363,332.8838942199627,1678.496268562245,-1029.0624965364193,-243.38151410097237,-16.96938163763953,-56.19898206725077
7,115,2,6,10000,0,743,817.6407886715824,1678.496268562245,-467.45198044473534,-285.3423800844433,-46.29421833199075,-61.76690102949305
8,115,2,6,10000,0,1510,1810.911545313883,1678.496268562245,397.29709425251303,-241.44851134274182,-20.51956767014855,-2.913738487984567
9,115,2,6,10000,0,1863,2054.7303585405994,1678.496268562245,739.8999274748455,-302.2582540468875,-64.18746887106576,2.7798854214619624
10,115,2,6,10000,0,2917,2662.429824089742,1678.496268562245,1155.7927375764477,-160.26125762993848,-7.107608422308893,-4.490315996703426
