model_index,curve_family,label,budget,method,run_kind,task_id,WL,Retention,PEC,test_r2,test_rmse,test_mae,abs_peak_step_error,tail_rmse_pct_peak
3,P2,P2 / M3,5,gaussian,sample,4792,145,4,7000,0.9813566547403832,136.86483904462878,95.27095891696658,1.0,0.6838809622586594
3,P2,P2 / M3,5,gaussian,sample,4826,146,4,8000,0.973771833426468,161.8067277500741,100.59962149752882,0.0,0.32837702301883065
3,P2,P2 / M3,5,gaussian,sample,4849,146,6,9000,0.8553910065244779,378.5935620010576,229.93045872027216,1.0,0.5182119708051951
3,P2,P2 / M3,5,gaussian,sample,4869,147,5,7000,0.9921690818405496,83.96094092750546,55.49328370180838,0.0,0.4722040362914382
3,P2,P2 / M3,5,gaussian,sample,4877,147,6,4000,0.991824157963867,98.04367305944331,63.16430840310384,0.0,0.47020068972406365
3,P2,P2 / M3,5,gaussian,sample,4929,149,5,1000,0.9872564133930648,118.58052755990172,75.08983947289761,1.0,0.3203920975292855
3,P2,P2 / M3,5,gaussian,sample,4949,149,6,10000,0.9532667381979,210.91442203247544,122.45709135549941,1.0,1.0946071967860433
3,P2,P2 / M3,5,gaussian,sample,5043,152,6,5000,0.9398655038221198,238.0597806117877,130.49858141022963,1.0,0.6009407856270019
3,P2,P2 / M3,5,gaussian,sample,5101,154,5,8000,0.9963657669408553,54.256360112536626,31.25306978637471,0.0,0.29390739434738977
3,P2,P2 / M3,5,gaussian,sample,5112,154,6,8000,0.9618374316356333,185.59533746154278,106.44411073024722,1.0,0.4285202008357769
3,P2,P2 / M3,5,gaussian,sample,5144,155,6,7000,0.9811522783149711,141.3493867201769,94.69050514687515,0.0,0.9286486554180587
3,P2,P2 / M3,5,gaussian,sample,5316,161,4,3000,0.9760065459538234,156.3728089474458,96.9756280740964,1.0,0.21311373646768217
3,P2,P2 / M3,5,gaussian,sample,5381,163,4,2000,0.9842181083739957,136.10984251048959,93.60392851033134,0.0,0.7065205308844471
3,P2,P2 / M3,5,gaussian,sample,5384,163,4,5000,0.9789886934547856,146.01721583656646,81.95772817618725,1.0,0.22771798974712962
3,P2,P2 / M3,5,gaussian,sample,5414,164,4,2000,0.9765797384473454,163.1652030700185,97.74276789202307,1.0,0.1561274418248884
3,P2,P2 / M3,5,gaussian,sample,5534,167,6,1000,0.9951845737904161,79.4055708713686,48.307106417563816,1.0,0.7442755805935175
3,P2,P2 / M3,5,gaussian,sample,5617,170,4,7000,0.9763383638123433,149.35482813630173,92.6236619594458,0.0,0.4479049882330421
3,P2,P2 / M3,5,gaussian,sample,5658,171,5,4000,0.9940871005914729,77.05971128732557,48.69472166117939,0.0,0.19898871569087276
3,P2,P2 / M3,5,gaussian,sample,5694,172,5,7000,0.9980117505519353,43.662597844441486,27.52944528492854,1.0,0.29416566835605207
3,P2,P2 / M3,5,gaussian,sample,5816,176,4,8000,0.9710196557736986,162.00489311010816,95.082000976754,0.0,0.3327726753611852
3,P2,P2 / M3,5,gaussian,sample,5841,177,4,0,0.9903667075096497,109.28947744112406,74.78213262265257,0.0,1.274178203751388
3,P2,P2 / M3,5,gaussian,sample,5843,177,4,2000,0.987795965948265,109.75844657309419,61.80094524222556,0.0,0.19860793148259606
3,P2,P2 / M3,5,gaussian,sample,5858,177,5,6000,0.9964866018928791,56.30954140374824,36.903534399369704,1.0,0.20626263243929246
3,P2,P2 / M3,5,gaussian,sample,5887,178,5,2000,0.9858819957397766,120.00674025466662,67.22920064275947,1.0,0.16009236783557088
3,P2,P2 / M3,5,gaussian,sample,6248,189,5,0,0.9752074023925672,161.3914477662826,94.9450782509776,0.0,0.11200259303004528
3,P2,P2 / M3,5,gaussian,sample,6299,190,6,7000,0.9939034015460958,78.09592560333523,51.349578108118884,0.0,1.1657963160165243
3,P2,P2 / M3,5,gaussian,sample,6359,192,6,1000,0.9879135022117321,116.23627115377667,73.0074465728475,0.0,0.5879352679500237
3,P2,P2 / M3,5,gaussian,sample,6407,194,4,5000,0.9832796516013163,131.49080662895565,84.36944996814286,1.0,0.20152149049882812
3,P2,P2 / M3,5,gaussian,sample,6425,194,6,1000,0.9938910621996385,85.25921992377006,54.26481458881408,1.0,0.9364103988434154
3,P2,P2 / M3,5,gaussian,sample,6466,195,6,9000,0.9559525263502877,200.07993577859125,133.41634594009886,1.0,1.1360425031814507
3,P2,P2 / M3,5,gaussian,sample,6743,204,5,0,0.9870712258760039,121.02598602069101,76.1978008174448,0.0,0.22608898826292614
3,P2,P2 / M3,5,gaussian,sample,6752,204,5,9000,0.9916165128249168,85.75382779389034,53.19634366396075,1.0,0.5399364868559615
3,P2,P2 / M3,5,gaussian,sample,6762,204,6,8000,0.9900533610010994,101.94212622777668,75.29035280500949,0.0,1.2622657224713048
