model_index,curve_family,label,budget,method,task_count,point_r2,task_mean_r2,task_median_r2,point_rmse,point_mae,frac_test_r2_gt_0_9,frac_test_r2_lt_0,p05_test_r2,mean_test_rmse,mean_test_mae,mean_abs_peak_step_error,mean_tail_rmse_pct_peak,run_kind,prior_lambda,epochs,lr,conditional_epochs,conditional_lr
3,P2,P2 / M3,9,source_pretrained_mlp,150,-10.135972251650127,-9.868478533649542,0.98831879135624,3498.089984478814,176.23327028747528,0.9,0.0333333333333333,0.4448924862538131,435.4227299886646,163.9139831994027,0.7266666666666667,11.14051098654808,sample,1e-06,250.0,0.01,,
3,P2,P2 / M3,9,proposed_prior_regularized,150,0.9782588715608378,0.9775919367862452,0.9906564291321552,154.56385742822468,72.88962252150507,0.96,0.0,0.9200439121083794,125.80752119052352,73.51725289414911,0.32,0.3873120347005759,sample,1e-06,250.0,0.01,,
5,P4,P4 / M5,5,gaussian,150,0.9773496815565226,0.9770349503577964,0.9837629884598866,152.2577328761326,79.05817156427014,0.9733333333333334,0.0,0.948759188292448,137.09715637561249,79.04428626046813,0.36,0.2554969435064392,sample,1e-06,250.0,0.01,,
5,P4,P4 / M5,5,spline,150,0.8502831738753222,0.8529591703246224,0.8813959802633653,391.4510917780965,236.53429155310533,0.4266666666666667,0.0,0.6910770021914366,363.3337677157534,232.8269667148751,0.1466666666666666,1.0928116805843222,sample,1e-06,250.0,0.01,,
5,P4,P4 / M5,5,source_pretrained_mlp,150,-243.38978248981303,-272.0871142048135,0.947438125898765,15815.52908521105,1895.570432338089,0.6266666666666667,0.1066666666666666,-23.986723403565705,3527.840882076963,1808.3575178257915,1.153333333333333,110.0097044015547,sample,1e-06,250.0,0.01,,
5,P4,P4 / M5,5,proposed_prior_regularized,150,0.941901467294419,0.9418423088717968,0.9606226565984664,243.8511369948361,126.48012910504916,0.8666666666666667,0.0066666666666666,0.8623521794103135,214.137359389808,127.2398991306887,0.5466666666666666,0.3173359607617082,sample,1e-06,250.0,0.01,,
5,P4,P4 / M5,7,gaussian,150,0.9897414536360808,0.9895489185230696,0.9911753113529282,105.951176051919,58.86264383949938,1.0,0.0,0.9760231122372166,100.50957178903724,59.546222268214414,0.32,0.3662881224238852,sample,1e-06,250.0,0.01,,
5,P4,P4 / M5,7,spline,150,0.9822146453577314,0.9822438084159262,0.9871320150163276,139.50640060676326,90.31882841047988,0.9933333333333332,0.0,0.948256997527142,127.1905174285426,88.69838094980541,0.0533333333333333,1.1020284467679586,sample,1e-06,250.0,0.01,,
5,P4,P4 / M5,7,source_pretrained_mlp,150,-186.1336908065936,-206.82855476761412,0.976315388523191,14309.974521493432,1522.1524222431146,0.7866666666666666,0.1133333333333333,-9.3133774044522,3111.6047824791185,1424.712100119526,0.9866666666666668,98.07894360249423,sample,1e-06,250.0,0.01,,
5,P4,P4 / M5,7,proposed_prior_regularized,150,0.9829876994289548,0.9831604097376092,0.9879683481467988,136.44084251778037,71.0130512498285,0.9933333333333332,0.0,0.959247063686316,122.31966012980332,70.86677388376059,0.2866666666666667,0.206962123069809,sample,1e-06,250.0,0.01,,
5,P4,P4 / M5,9,gaussian,150,0.9910072869475538,0.9907667613367284,0.9924652999929366,99.84189287140715,57.96170364950595,1.0,0.0,0.97894426300516,95.11457784932544,58.85876956314539,0.2666666666666666,0.4516344910681127,sample,1e-06,250.0,0.01,,
5,P4,P4 / M5,9,spline,150,0.991947925371129,0.9917815160500888,0.9934013910245914,94.4759644087151,56.2176213841684,1.0,0.0,0.9770519978011074,89.27325948501395,56.6558880020789,0.0933333333333333,0.4796070516600384,sample,1e-06,250.0,0.01,,
5,P4,P4 / M5,9,source_pretrained_mlp,150,-187.70363937734416,-214.41525798255597,0.986864290079248,14462.97302679732,1588.4762213235415,0.8733333333333333,0.0733333333333333,-33.13401335760732,2699.6247057846804,1516.9206737386685,0.7266666666666667,75.4705763402789,sample,1e-06,250.0,0.01,,
5,P4,P4 / M5,9,proposed_prior_regularized,150,0.9883934071342504,0.9881284572278128,0.9933704066355074,113.427879585003,56.51330840123566,0.9933333333333332,0.0,0.9691697743819996,100.0153743204885,57.82960239678098,0.3133333333333333,0.2657121194102422,sample,1e-06,250.0,0.01,,
8,P7,P7 / M8,5,gaussian,150,0.8937321889992217,0.9020094167125856,0.9837257284882716,246.31566377131364,79.13224660328652,0.9666666666666668,0.02,0.9239156877504862,129.97563428811665,77.00497902364067,0.5466666666666666,0.543560889375851,sample,1e-06,250.0,0.01,,
8,P7,P7 / M8,5,spline,150,0.8300872102386363,0.8344179160084605,0.8665341031075537,311.4613763459752,166.7440338738835,0.4333333333333333,0.0,0.5715842420788803,277.76923699219884,162.87726855801415,0.6933333333333334,1.0268741297124608,sample,1e-06,250.0,0.01,,
8,P7,P7 / M8,5,source_pretrained_mlp,150,-157.8245113782462,-167.96366158176048,0.9267939832478204,9522.476884499283,825.9806168010076,0.6133333333333333,0.1133333333333333,-1061.3926758965451,2465.8358286647776,773.1470549276481,1.8866666666666667,18.52295231585812,sample,1e-06,250.0,0.01,,
8,P7,P7 / M8,5,proposed_prior_regularized,150,0.9416428970465088,0.9404027919820972,0.9649598878380072,182.5315850460557,96.02602786221924,0.8266666666666667,0.0,0.8139641458979141,162.34841426700194,95.83918962317448,0.7066666666666667,0.5262913983336905,sample,1e-06,250.0,0.01,,
8,P7,P7 / M8,7,gaussian,150,0.9899556620234627,0.9898706617496854,0.9911516853504654,77.0616943711318,44.04011137504008,1.0,0.0,0.9778468175630856,73.55571535120636,44.39511627301479,0.4933333333333333,0.6219244194768381,sample,1e-06,250.0,0.01,,
8,P7,P7 / M8,7,spline,150,0.985640091445778,0.9857874615524904,0.9892292866953262,92.14117200314544,60.65124411982769,0.9933333333333332,0.0,0.965144031993279,84.458394921536,59.91861952413581,0.22,1.318489020848458,sample,1e-06,250.0,0.01,,
8,P7,P7 / M8,7,source_pretrained_mlp,150,-90.29012620429592,-94.97505938321336,0.9727880136043244,7346.657585371648,478.2827164562689,0.7666666666666667,0.1066666666666666,-11.352335143574011,1586.0136421533414,467.665571056822,1.7533333333333334,1.6903729635435505,sample,1e-06,250.0,0.01,,
8,P7,P7 / M8,7,proposed_prior_regularized,150,0.9856686064546956,0.9856009877123216,0.991599844471252,92.0496424518644,48.39523940841325,0.9866666666666668,0.0,0.9605113145417974,81.52530876073884,48.410980061746265,0.4866666666666667,0.3955512832542621,sample,1e-06,250.0,0.01,,
8,P7,P7 / M8,9,gaussian,150,0.9912129328429876,0.9910326732537916,0.9924148062281672,72.16330816908011,42.41734045825851,1.0,0.0,0.9770789752628128,69.50828077297051,42.95057226946586,0.4533333333333333,0.6209530964137673,sample,1e-06,250.0,0.01,,
8,P7,P7 / M8,9,spline,150,0.9906182539783353,0.9904889450555076,0.9921692895296306,74.5652189337715,45.271798324768106,1.0,0.0,0.9770228870507284,72.11482289233302,46.04381002830739,0.28,0.4955951528799606,sample,1e-06,250.0,0.01,,
8,P7,P7 / M8,9,source_pretrained_mlp,150,-117.46646105371684,-125.10570241359378,0.982564196578795,8378.999585958758,560.794572147061,0.8,0.0933333333333333,-1214.428923613811,2205.1419283079235,546.5551822563389,1.5333333333333334,2.5311257523076494,sample,1e-06,250.0,0.01,,
8,P7,P7 / M8,9,proposed_prior_regularized,150,0.989230712228554,0.9890403370496904,0.992547702210402,79.88917798376298,42.99299970492913,0.9933333333333332,0.0,0.9737437592609997,73.83869220690501,43.71824948399887,0.48,0.3279357109041055,sample,1e-06,250.0,0.01,,
3,P2,P2 / M3,5,conditional_mlp_calibrated,150,0.9194671511013742,0.9174095907741214,0.9293472190983284,288.3366463806576,171.66471204400793,0.6733333333333333,0.0,0.7905402391495666,267.8481148346825,174.51125883585476,0.4266666666666667,1.0072688029395036,sample,,,,1500.0,0.001
3,P2,P2 / M3,7,conditional_mlp_calibrated,150,0.9358238720259784,0.9338375348091714,0.9513671705622352,265.4989192936957,158.38867356914,0.78,0.0,0.8327610995972053,248.6737327935089,161.07883643854797,0.4266666666666667,0.9791979204045548,sample,,,,1500.0,0.001
3,P2,P2 / M3,9,conditional_mlp_calibrated,150,0.941919281818168,0.939618736044072,0.9472352637618152,252.6288213834529,153.9818668164836,0.7933333333333333,0.0,0.8538286867967898,237.29809609851995,157.64134577895442,0.4266666666666667,0.9919800277299898,sample,,,,1500.0,0.001
5,P4,P4 / M5,5,conditional_mlp_calibrated,150,0.6283893876447253,0.6191347335700054,0.7420622985639063,616.7174780908967,304.4163048189174,0.18,0.0466666666666666,0.0339064507168692,569.4544289895618,312.7784077758689,0.5,0.5815785816395033,sample,,,,1500.0,0.001
5,P4,P4 / M5,7,conditional_mlp_calibrated,150,0.69066544325683,0.6872620590559535,0.7354624664761196,581.8045167164108,285.10878437079754,0.3133333333333333,0.04,0.0843872716024587,526.5352937691031,290.8850169504228,0.5,0.5791305786869628,sample,,,,1500.0,0.001
5,P4,P4 / M5,9,conditional_mlp_calibrated,150,0.7163703203999319,0.7156962138146673,0.7360476254161962,560.7164215709873,276.02787145782764,0.3333333333333333,0.0133333333333333,0.2939382538991195,509.4165976660179,280.4567954381394,0.5,0.5802976150039779,sample,,,,1500.0,0.001
8,P7,P7 / M8,5,conditional_mlp_calibrated,150,0.8938179836912498,0.8891377952566105,0.9098894340174448,246.21621294347648,146.69103086749098,0.54,0.0,0.7368788796645385,230.83801543833695,147.0824580766124,1.04,1.3783473115879308,sample,,,,1500.0,0.001
8,P7,P7 / M8,7,conditional_mlp_calibrated,150,0.8974212504555155,0.8930622053652287,0.9125303259613384,246.2672128229797,146.86282949935105,0.5666666666666667,0.0,0.7373363863649499,230.34744571977896,147.31192151169418,1.04,1.4353849282900273,sample,,,,1500.0,0.001
8,P7,P7 / M8,9,conditional_mlp_calibrated,150,0.9043951268784174,0.9005329851289665,0.921424781773686,238.03152345890797,142.63997601273505,0.5866666666666667,0.0,0.7694112887117655,223.16215705339496,142.87689085026292,1.04,1.440308259652178,sample,,,,1500.0,0.001
